全角,和暦,辞書用よみ,西暦,和暦元号,和暦（読み）,年（半）,年（全）,十子,読み,十二支,読み,時代区分,備考
５９３,推古天皇（諡号）1,すいこてんのう１,593,推古天皇（諡号）,すいこてんのう,1,１,癸,みずのと,丑,うし,飛鳥時代,
５９４,推古天皇（諡号）2,すいこてんのう２,594,推古天皇（諡号）,すいこてんのう,2,２,甲,きのえ,寅,とら,,
５９５,推古天皇（諡号）3,すいこてんのう３,595,推古天皇（諡号）,すいこてんのう,3,３,乙,きのと,卯,うさぎ,,
５９６,推古天皇（諡号）4,すいこてんのう４,596,推古天皇（諡号）,すいこてんのう,4,４,丙,ひのえ,辰,たつ,,
５９７,推古天皇（諡号）5,すいこてんのう５,597,推古天皇（諡号）,すいこてんのう,5,５,丁,ひのと,巳,へび,,
５９８,推古天皇（諡号）6,すいこてんのう６,598,推古天皇（諡号）,すいこてんのう,6,６,戊,つちのえ,午,うま,,
５９９,推古天皇（諡号）7,すいこてんのう７,599,推古天皇（諡号）,すいこてんのう,7,７,己,つちのと,未,ひつじ,,
６００,推古天皇（諡号）8,すいこてんのう８,600,推古天皇（諡号）,すいこてんのう,8,８,庚,かのえ,申,さる,,
６０１,推古天皇（諡号）9,すいこてんのう９,601,推古天皇（諡号）,すいこてんのう,9,９,辛,かのと,酉,とり,,
６０２,推古天皇（諡号）10,すいこてんのう１０,602,推古天皇（諡号）,すいこてんのう,10,１０,壬,みずのえ,戌,いぬ,,
６０３,推古天皇（諡号）11,すいこてんのう１１,603,推古天皇（諡号）,すいこてんのう,11,１１,癸,みずのと,亥,いのしし,,
６０４,推古天皇（諡号）12,すいこてんのう１２,604,推古天皇（諡号）,すいこてんのう,12,１２,甲,きのえ,子,ねずみ,,憲法17条制定
６０５,推古天皇（諡号）13,すいこてんのう１３,605,推古天皇（諡号）,すいこてんのう,13,１３,乙,きのと,丑,うし,,
６０６,推古天皇（諡号）14,すいこてんのう１４,606,推古天皇（諡号）,すいこてんのう,14,１４,丙,ひのえ,寅,とら,,
６０７,推古天皇（諡号）15,すいこてんのう１５,607,推古天皇（諡号）,すいこてんのう,15,１５,丁,ひのと,卯,うさぎ,,
６０８,推古天皇（諡号）16,すいこてんのう１６,608,推古天皇（諡号）,すいこてんのう,16,１６,戊,つちのえ,辰,たつ,,
６０９,推古天皇（諡号）17,すいこてんのう１７,609,推古天皇（諡号）,すいこてんのう,17,１７,己,つちのと,巳,へび,,
６１０,推古天皇（諡号）18,すいこてんのう１８,610,推古天皇（諡号）,すいこてんのう,18,１８,庚,かのえ,午,うま,,
６１１,推古天皇（諡号）19,すいこてんのう１９,611,推古天皇（諡号）,すいこてんのう,19,１９,辛,かのと,未,ひつじ,,
６１２,推古天皇（諡号）20,すいこてんのう２０,612,推古天皇（諡号）,すいこてんのう,20,２０,壬,みずのえ,申,さる,,
６１３,推古天皇（諡号）21,すいこてんのう２１,613,推古天皇（諡号）,すいこてんのう,21,２１,癸,みずのと,酉,とり,,
６１４,推古天皇（諡号）22,すいこてんのう２２,614,推古天皇（諡号）,すいこてんのう,22,２２,甲,きのえ,戌,いぬ,,
６１５,推古天皇（諡号）23,すいこてんのう２３,615,推古天皇（諡号）,すいこてんのう,23,２３,乙,きのと,亥,いのしし,,
６１６,推古天皇（諡号）24,すいこてんのう２４,616,推古天皇（諡号）,すいこてんのう,24,２４,丙,ひのえ,子,ねずみ,,
６１７,推古天皇（諡号）25,すいこてんのう２５,617,推古天皇（諡号）,すいこてんのう,25,２５,丁,ひのと,丑,うし,,
６１８,推古天皇（諡号）26,すいこてんのう２６,618,推古天皇（諡号）,すいこてんのう,26,２６,戊,つちのえ,寅,とら,,
